,사용월,호선명,지하철역,작업일자,time,승하차구분 ,population
303,201601,경의선,디지털미디어시티,20160208,11시-12시,승차,3238
304,201601,경의선,디지털미디어시티,20160208,11시-12시,하차,2216
305,201601,경의선,디지털미디어시티,20160208,12시-13시,승차,3462
306,201601,경의선,디지털미디어시티,20160208,12시-13시,하차,2344
307,201601,경의선,디지털미디어시티,20160208,13시-14시,승차,3517
308,201601,경의선,디지털미디어시티,20160208,13시-14시,하차,2820
309,201601,경의선,디지털미디어시티,20160208,14시-15시,승차,3205
310,201601,경의선,디지털미디어시티,20160208,14시-15시,하차,2554
311,201601,경의선,디지털미디어시티,20160208,15시-16시,승차,3191
312,201601,경의선,디지털미디어시티,20160208,15시-16시,하차,2836
313,201601,경의선,디지털미디어시티,20160208,16시-17시,승차,3481
314,201601,경의선,디지털미디어시티,20160208,16시-17시,하차,3152
315,201601,경의선,디지털미디어시티,20160208,17시-18시,승차,4370
316,201601,경의선,디지털미디어시티,20160208,17시-18시,하차,3847
317,201601,경의선,디지털미디어시티,20160208,18시-19시,승차,4933
318,201601,경의선,디지털미디어시티,20160208,18시-19시,하차,6082
319,201601,경의선,디지털미디어시티,20160208,19시-20시,승차,3244
320,201601,경의선,디지털미디어시티,20160208,19시-20시,하차,5715
321,201601,경의선,디지털미디어시티,20160208,20시-21시,승차,2182
322,201601,경의선,디지털미디어시티,20160208,20시-21시,하차,3532
323,201601,경의선,디지털미디어시티,20160208,21시-22시,승차,2051
324,201601,경의선,디지털미디어시티,20160208,21시-22시,하차,3479
325,201601,경의선,디지털미디어시티,20160208,22시-23시,승차,1659
326,201601,경의선,디지털미디어시티,20160208,22시-23시,하차,3514
327,201601,경의선,디지털미디어시티,20160208,23시-24시,승차,879
328,201601,경의선,디지털미디어시티,20160208,23시-24시,하차,2350
329,201601,경의선,디지털미디어시티,20160208,00시-01시,승차,75
330,201601,경의선,디지털미디어시티,20160208,00시-01시,하차,495
331,201601,경의선,디지털미디어시티,20160208,01시-02시,승차,0
332,201601,경의선,디지털미디어시티,20160208,01시-02시,하차,1
333,201601,경의선,디지털미디어시티,20160208,02시-03시,승차,0
334,201601,경의선,디지털미디어시티,20160208,02시-03시,하차,0
335,201601,경의선,디지털미디어시티,20160208,03시-04시,승차,0
336,201601,경의선,디지털미디어시티,20160208,03시-04시,하차,0
337,201601,경의선,수색,20160208,04시-05시,승차,0
338,201601,경의선,수색,20160208,04시-05시,하차,0
339,201601,경의선,수색,20160208,05시-06시,승차,735
340,201601,경의선,수색,20160208,05시-06시,하차,175
341,201601,경의선,수색,20160208,06시-07시,승차,1621
342,201601,경의선,수색,20160208,06시-07시,하차,1637
343,201601,경의선,수색,20160208,07시-08시,승차,3324
